GBIR6967-15;Emberiza impetuani impetuani
LGEMA507-08;Phlegopsis nigromaculata
LGEMA508-08;Philydor atricapillus
LGEMA512-08;Piaya cayana
LGEMA513-08;Piaya cayana
LGEMA514-08;Piaya melanogaster
LGEMA515-08;Piculus flavigula
LGEMA516-08;Picumnus temminckii
LGEMA532-08;Pyriglena leuconota
LGEMA533-08;Ramphodon naevius
LGEMA540-08;Sclerurus rufigularis
LGEMA548-08;Stephanoxis lalandi
LGEMA549-08;Synallaxis rutilans
LGEMA554-08;Thalurania furcata
LGEMA556-08;Thalurania furcata
LGEMA560-08;Thamnomanes caesius
LGEMA561-08;Thamnophilus aethiops
LGEMA562-08;Thamnophilus aethiops
LGEMA563-08;Thamnophilus aethiops
LGEMA564-08;Thamnophilus aethiops
LGEMA566-08;Thamnophilus murinus
LGEMA576-08;Turdus albicollis
LGEMA581-08;Turdus leucomelas
LGEMA582-08;Turdus leucomelas
MNCN001-08;Thalurania furcata
MNCN002-08;Hylophylax naevius
MNCN003-08;Hylophylax naevius
MNCN005-08;Hylophylax naevius
MNCN006-08;Willisornis poecilinotus
MNCN007-08;Hylophylax naevius
MNCN008-08;Hylophylax naevius
MNCN009-08;Xenops minutus
MNCN013-08;Hylophylax naevius
MNCN014-08;Hylophylax naevius
MNCN017-08;Willisornis poecilinotus
MNCN018-08;Myrmotherula axillaris
MNCN020-08;Formicarius analis
MNCN021-08;Phaethornis superciliosus
MNCN022-08;Phaethornis superciliosus
MNCN023-08;Pithys albifrons
MNCN027-08;Phaethornis superciliosus
MNCN028-08;Geotrygon montana
MNCN039-08;Campylopterus largipennis
MNCN042-08;Campylopterus largipennis
MNCN044-08;Phaethornis superciliosus
MNCN045-08;Myrmotherula axillaris
MNCN046-08;Thalurania furcata
MNCN049-08;Myrmotherula axillaris
MNCN050-08;Thamnomanes ardesiacus
MNCN051-08;Thamnomanes ardesiacus
MNCN054-08;Chloroceryle aenea
MNCN056-08;Thamnomanes ardesiacus
MNCN059-08;Xenops minutus
MNCN060-08;Willisornis poecilinotus
MNCN062-08;Phaethornis superciliosus
MNCN065-08;Willisornis poecilinotus
MNCN066-08;Pithys albifrons
MNCN067-08;Phaethornis superciliosus
MNCN068-08;Willisornis poecilinotus
MNCN070-08;Myrmotherula longipennis
MNCN072-08;Thamnomanes caesius
MNCN073-08;Thamnomanes caesius
MNCN074-08;Myrmotherula longipennis
MNCN075-08;Phaethornis superciliosus
MNCN076-08;Myrmotherula axillaris
MNCN078-08;Myrmotherula menetriesii
MNCN079-08;Turdus albicollis
MNCN080-08;Thalurania furcata
MNCN081-08;Phaethornis bourcieri
MNCN083-08;Thamnomanes ardesiacus
MNCN084-08;Hylophylax naevius
MNCN087-08;Thalurania furcata
MNCN088-08;Phaethornis bourcieri
MNCN089-08;Thamnomanes caesius
MNCN090-08;Xenops minutus
MNCN091-08;Turdus albicollis
MNCN095-08;Pithys albifrons
MNCN096-08;Formicarius colma
MNCN097-08;Willisornis poecilinotus
MNCN098-08;Willisornis poecilinotus
MNCN099-08;Willisornis poecilinotus
MNCN100-08;Willisornis poecilinotus
MNCN102-08;Thamnomanes ardesiacus
MNCN103-08;Thamnomanes ardesiacus
MNCN104-08;Pithys albifrons
MNCN105-08;Thamnomanes ardesiacus
MNCN112-08;Willisornis poecilinotus
MNCN113-08;Phaethornis bourcieri
MNCN114-08;Pithys albifrons
MNCN117-08;Thamnomanes ardesiacus
MNCN119-08;Thamnomanes ardesiacus
MNCN120-08;Willisornis poecilinotus
MNCN132-08;Pithys albifrons
MNCN133-08;Pithys albifrons
MNCN134-08;Willisornis poecilinotus
MNCN135-08;Myrmotherula axillaris
MNCN136-08;Phaethornis superciliosus
MNCN137-08;Phaethornis superciliosus
MNCN138-08;Thamnomanes ardesiacus
MNCN139-08;Willisornis poecilinotus
MNCN140-08;Thamnomanes ardesiacus
MNCN141-08;Thamnomanes ardesiacus
MNCN142-08;Phaethornis superciliosus
MNCN143-08;Phaethornis superciliosus
MNCN148-08;Phaethornis superciliosus
MNCN149-08;Myrmotherula axillaris
MNCN150-08;Thamnomanes ardesiacus
MNCN151-08;Myrmotherula axillaris
MNCN152-08;Willisornis poecilinotus
MNCN153-08;Phaethornis superciliosus
MNCN155-08;Myrmotherula axillaris
MNCN158-08;Thamnomanes ardesiacus
MNCN159-08;Momotus momota
MNCN161-08;Myrmotherula axillaris
MNCN163-08;Thamnomanes ardesiacus
MNCN167-08;Phaethornis bourcieri
MNCN168-08;Thamnomanes ardesiacus
MNCN169-08;Myrmotherula axillaris
MNCN170-08;Thamnomanes ardesiacus
MNCN173-08;Thamnomanes ardesiacus
MNCN175-08;Phaethornis bourcieri
MNCN179-08;Myrmotherula axillaris
MNCN180-08;Myrmotherula longipennis
MNCN181-08;Myrmotherula axillaris
MNCN182-08;Thamnomanes ardesiacus
MNCN186-08;Thalurania furcata
MNCN187-08;Hylophylax naevius
MNCN189-08;Willisornis poecilinotus
MNCN190-08;Willisornis poecilinotus
MNCN192-08;Sclerurus mexicanus
MNCN195-08;Phaethornis superciliosus
MNCN196-08;Hypocnemis cantator
MNCN197-08;Hylophylax punctulatus
MNCN198-08;Thamnomanes ardesiacus
MNCN201-08;Phaethornis superciliosus
MNCN202-08;Formicarius analis
MNCN206-08;Hylophylax punctulatus
MNCN209-08;Myrmotherula axillaris
MNCN210-08;Myrmotherula axillaris
MNCN215-08;Formicarius analis
MNCN217-08;Campylopterus largipennis
MNCN222-08;Myrmotherula menetriesii
MNCN225-08;Myrmotherula axillaris
MNCN226-08;Willisornis poecilinotus
MNCN228-08;Campylopterus largipennis
MNCN229-08;Willisornis poecilinotus
MNCN233-08;Myrmotherula menetriesii
MNCN235-08;Phaethornis superciliosus
MNCN237-08;Thalurania furcata
MNCN239-08;Thalurania furcata
MNCN241-08;Thamnomanes caesius
MNCN244-08;Phaethornis superciliosus
MNCN245-08;Phaethornis superciliosus
MNCN246-08;Pithys albifrons
MNCN247-08;Hylophylax naevius
MNCN248-08;Hylophylax naevius
MNCN249-08;Myrmotherula axillaris
MNCN251-08;Myrmotherula menetriesii
MNCN252-08;Thalurania furcata
MNCN253-08;Myrmotherula axillaris
MNCN254-08;Thalurania furcata
MNCN258-08;Formicarius analis
MNCN259-08;Campylopterus villaviscensio
MNCN260-08;Campylopterus villaviscensio
MNCN264-08;Thalurania furcata
MNCN266-08;Campylopterus villaviscensio
MNCN268-08;Thalurania furcata
MNCN269-08;Campylopterus villaviscensio
MNCN272-08;Turdus albicollis
MNCN273-08;Geotrygon montana
MNCN274-08;Turdus albicollis
MNCN275-08;Campylopterus villaviscensio
MNCN276-08;Sclerurus mexicanus
MNCN278-08;Sclerurus mexicanus
MNCN281-08;Thamnomanes caesius
MNCN282-08;Willisornis poecilinotus
MNCN283-08;Pithys albifrons
MNCN286-08;Turdus albicollis
MNCN288-08;Thamnomanes ardesiacus
MNCN289-08;Hylophylax naevius
MNCN291-08;Hylophylax naevius
MNCN292-08;Xenops minutus
MNCN293-08;Willisornis poecilinotus
MNCN297-08;Thalurania colombica fannyae
MNCN298-08;Thalurania colombica fannyae
MNCN299-08;Thalurania colombica fannyae
MNCN300-08;Thalurania colombica fannyae
MNCN303-08;Thalurania colombica fannyae
MNCN304-08;Willisornis poecilinotus
MNCN307-08;Myrmotherula menetriesii
MNCN308-08;Pithys albifrons
MNCN309-08;Pithys albifrons
MNCN310-08;Pithys albifrons
MNCN313-08;Thamnomanes ardesiacus
MNCN314-08;Thamnomanes caesius
MNCN316-08;Pithys albifrons
MNCN319-08;Hylophylax naevius
MNCN320-08;Willisornis poecilinotus
MNCN322-08;Sclerurus mexicanus
MNCN323-08;Sclerurus mexicanus
MNCN324-08;Hylophylax naevius
MNCN326-08;Thalurania furcata
MNCN327-08;Hylophylax naevius
MNCN328-08;Pithys albifrons
MNCN330-08;Xenops minutus
MNCN331-08;Pithys albifrons
MNCN332-08;Turdus albicollis
MNCN333-08;Sclerurus mexicanus
MNCN336-08;Willisornis poecilinotus
MNCN337-08;Thalurania furcata
MNCN339-08;Thalurania furcata
MNCN341-08;Hylophylax naevius
MNCN342-08;Hylophylax naevius
MNCN343-08;Pithys albifrons
MNCN345-08;Pithys albifrons
MNCN346-08;Turdus albicollis
MNCN351-08;Sclerurus mexicanus
MNCN352-08;Hypocnemis cantator
MNCN353-08;Phaethornis superciliosus
MNCN357-08;Phaethornis bourcieri
MNCN358-08;Pithys albifrons
MNCN359-08;Geotrygon montana
MNCN362-08;Turdus albicollis
MNCN363-08;Willisornis poecilinotus
MNCN364-08;Willisornis poecilinotus
MNCN365-08;Thamnomanes ardesiacus
MNCN367-08;Formicarius analis
MNCN368-08;Thamnomanes ardesiacus
MNCN369-08;Thamnomanes ardesiacus
MNCN370-08;Geotrygon montana
MNCN373-08;Pithys albifrons
MNCN376-08;Hylophylax naevius
MNCN377-08;Myrmotherula longipennis
MNCN381-08;Xenops minutus
MNCN384-08;Thamnomanes ardesiacus
MNCN385-08;Xenops minutus
MNCN386-08;Pithys albifrons
MNCN387-08;Pithys albifrons
MNCN388-08;Myrmotherula axillaris
MNCN389-08;Myrmotherula menetriesii
MNCN390-08;Myrmotherula longipennis
MNCN391-08;Willisornis poecilinotus
MNCN392-08;Xenops minutus
MNCN393-08;Automolus ochrolaemus
MNCN394-08;Automolus ochrolaemus
MNCN395-08;Pithys albifrons
MNCN397-08;Hylophylax naevius
MNCN399-08;Philydor erythrocercum
MNCN401-08;Philydor erythrocercum
MNCN402-08;Myrmotherula axillaris
MNCN403-08;Thamnomanes caesius
MNCN408-08;Xenops minutus
MNCN410-08;Sclerurus mexicanus
MNCN411-08;Xenops minutus
MNCN412-08;Sclerurus mexicanus
MNCN415-08;Myrmotherula axillaris
MNCN417-08;Xenops minutus
MNCN420-08;Myrmotherula axillaris
MNCN422-08;Xenops minutus
MNCN423-08;Myrmotherula axillaris
MNCN426-08;Automolus ochrolaemus
MNCN427-08;Xenops minutus
MNCN446-08;Myrmotherula axillaris
MNCN451-08;Myrmotherula axillaris
MNCN452-08;Myrmotherula axillaris
MNCN456-08;Automolus ochrolaemus
MNCN457-08;Automolus ochrolaemus
MNCN458-08;Myrmotherula axillaris
MNCN461-08;Xenops minutus
MNCN471-08;Myrmotherula axillaris
MNCN472-08;Xenops minutus
MNCN473-08;Xenops minutus
MNCN474-08;Sclerurus mexicanus
MNCN481-08;Myrmotherula axillaris
MNCN483-08;Geotrygon montana
MNCN485-08;Xenops minutus
MNCN487-08;Xenops minutus
MNCN491-08;Xenops minutus
MNCN493-08;Campylopterus largipennis
MNCN496-08;Campylopterus largipennis
MNCN497-08;Campylopterus largipennis
MNCN498-08;Campylopterus largipennis
MNCN499-08;Campylopterus largipennis
MNCN501-08;Chloroceryle aenea
MNCN511-08;Thalurania furcata
MNCN538-08;Formicarius analis
MNCN539-08;Formicarius colma
MNCN540-08;Formicarius colma
MNCN541-08;Formicarius colma
MNCN542-08;Formicarius colma
MNCN543-08;Formicarius colma
MNCN544-08;Formicarius colma
MNCN550-08;Geotrygon montana
MNCN551-08;Geotrygon montana
MNCN553-08;Glyphorynchus spirurus
MNCN554-08;Glyphorynchus spirurus
MNCN555-08;Glyphorynchus spirurus
MNCN556-08;Glyphorynchus spirurus
MNCN557-08;Glyphorynchus spirurus
MNCN558-08;Glyphorynchus spirurus
MNCN560-08;Glyphorynchus spirurus
MNCN564-08;Glyphorynchus spirurus
MNCN565-08;Glyphorynchus spirurus
MNCN567-08;Glyphorynchus spirurus
MNCN568-08;Gymnopithys rufigula
MNCN569-08;Heliothryx auritus
MNCN571-08;Hylophylax naevius
MNCN572-08;Hylophylax naevius
MNCN573-08;Hylophylax naevius
MNCN574-08;Hylophylax naevius
MNCN575-08;Hylophylax naevius
MNCN576-08;Hylophylax naevius
MNCN577-08;Hylophylax naevius
MNCN578-08;Willisornis poecilinotus
MNCN579-08;Willisornis poecilinotus
MNCN580-08;Willisornis poecilinotus
MNCN581-08;Willisornis poecilinotus
MNCN582-08;Willisornis poecilinotus
MNCN584-08;Willisornis poecilinotus
MNCN585-08;Willisornis poecilinotus
MNCN586-08;Willisornis poecilinotus
MNCN588-08;Willisornis poecilinotus
MNCN589-08;Willisornis poecilinotus
MNCN590-08;Willisornis poecilinotus
MNCN591-08;Willisornis poecilinotus
MNCN592-08;Hypocnemis cantator
MNCN594-08;Hypocnemis cantator
MNCN595-08;Hypocnemis cantator
MNCN596-08;Hypocnemis cantator
MNCN600-08;Micrastur gilvicollis
MNCN614-08;Momotus momota
MNCN620-08;Myrmoderus ferrugineus
MNCN621-08;Myrmotherula axillaris
MNCN622-08;Myrmotherula axillaris
MNCN623-08;Myrmotherula axillaris
MNCN624-08;Myrmotherula axillaris
MNCN625-08;Myrmotherula axillaris
MNCN628-08;Epinecrophylla gutturalis
MNCN629-08;Myrmotherula longipennis
MNCN630-08;Myrmotherula longipennis
MNCN631-08;Myrmotherula longipennis
MNCN632-08;Myrmotherula longipennis
MNCN633-08;Myrmotherula longipennis
MNCN634-08;Myrmotherula menetriesii
MNCN635-08;Myrmotherula menetriesii
MNCN636-08;Myrmotherula menetriesii
MNCN638-08;Percnostola rufifrons
MNCN639-08;Percnostola rufifrons
MNCN640-08;Phaethornis bourcieri
MNCN641-08;Phaethornis bourcieri
MNCN642-08;Phaethornis bourcieri
MNCN643-08;Phaethornis bourcieri
MNCN644-08;Phaethornis bourcieri
MNCN645-08;Phaethornis bourcieri
MNCN646-08;Phaethornis malaris
MNCN647-08;Phaethornis malaris
MNCN648-08;Phaethornis malaris
MNCN649-08;Phaethornis malaris
MNCN650-08;Phaethornis malaris
MNCN651-08;Phaethornis malaris
MNCN652-08;Phaethornis malaris
MNCN653-08;Phaethornis bourcieri
MNCN654-08;Phaethornis malaris
MNCN655-08;Phaethornis malaris
MNCN656-08;Phaethornis malaris
MNCN658-08;Phaethornis malaris
MNCN659-08;Phaethornis malaris
MNCN660-08;Phaethornis ruber
MNCN661-08;Phaethornis ruber
MNCN662-08;Philydor erythrocercum
MNCN663-08;Philydor erythrocercum
MNCN664-08;Philydor erythrocercum
MNCN665-08;Philydor erythrocercum
MNCN668-08;Pithys albifrons
MNCN669-08;Pithys albifrons
MNCN670-08;Pithys albifrons
MNCN671-08;Pithys albifrons
MNCN672-08;Pithys albifrons
MNCN674-08;Pithys albifrons
MNCN675-08;Pithys albifrons
MNCN676-08;Pithys albifrons
MNCN678-08;Pithys albifrons
MNCN679-08;Pithys albifrons
MNCN680-08;Pithys albifrons
MNCN681-08;Pithys albifrons
MNCN682-08;Pithys albifrons
MNCN683-08;Pithys albifrons
MNCN699-08;Sclerurus mexicanus
MNCN700-08;Sclerurus rufigularis
MNCN710-08;Thalurania furcata
MNCN711-08;Thalurania furcata
MNCN712-08;Thalurania furcata
MNCN713-08;Thalurania furcata
MNCN714-08;Thalurania furcata
MNCN716-08;Thalurania furcata
MNCN717-08;Thalurania furcata
MNCN718-08;Thalurania furcata
MNCN722-08;Thamnomanes ardesiacus
MNCN723-08;Thamnomanes ardesiacus
MNCN724-08;Thamnomanes ardesiacus
MNCN726-08;Thamnomanes ardesiacus
MNCN727-08;Thamnomanes ardesiacus
MNCN728-08;Thamnomanes ardesiacus
MNCN729-08;Thamnomanes ardesiacus
MNCN730-08;Thamnomanes ardesiacus
MNCN731-08;Thamnomanes ardesiacus
MNCN732-08;Thamnomanes ardesiacus
MNCN734-08;Thamnomanes caesius
MNCN735-08;Thamnomanes ardesiacus
MNCN736-08;Thamnomanes caesius
MNCN737-08;Topaza pella
MNCN739-08;Turdus albicollis
MNCN741-08;Turdus albicollis
MNCN742-08;Turdus albicollis
MNCN743-08;Turdus albicollis
MNCN744-08;Turdus albicollis
MNCN745-08;Turdus albicollis
MNCN746-08;Turdus albicollis
MNCN747-08;Turdus albicollis
MNCN748-08;Turdus albicollis
MNCN749-08;Turdus albicollis
MNCN750-08;Turdus albicollis
MNCN753-08;Xenops minutus
MNCN755-08;Hypocnemis cantator
MNCN756-09;Glyphorynchus spirurus
MNCN757-09;Glyphorynchus spirurus
MNCN758-09;Glyphorynchus spirurus
MNCN759-09;Glyphorynchus spirurus
MNCN760-09;Glyphorynchus spirurus
MNCN761-09;Glyphorynchus spirurus
MNCN762-09;Glyphorynchus spirurus
MNCN763-09;Glyphorynchus spirurus
MNCN764-09;Glyphorynchus spirurus
MNCN765-09;Glyphorynchus spirurus
MNCN766-09;Glyphorynchus spirurus
MNCN767-09;Glyphorynchus spirurus
MNCN768-09;Glyphorynchus spirurus
MNCN769-09;Glyphorynchus spirurus
MNCN770-09;Glyphorynchus spirurus
MNCN771-09;Glyphorynchus spirurus
MNCN772-09;Glyphorynchus spirurus
MNCN773-09;Glyphorynchus spirurus
MNCN774-09;Glyphorynchus spirurus
MNCN775-09;Glyphorynchus spirurus
MNCN776-09;Glyphorynchus spirurus
MNCN777-09;Glyphorynchus spirurus
MNCN778-09;Glyphorynchus spirurus
MNCN779-09;Glyphorynchus spirurus
MNCN780-09;Glyphorynchus spirurus
MNCN781-09;Glyphorynchus spirurus
MNCN782-09;Glyphorynchus spirurus
MNCN783-09;Glyphorynchus spirurus
MNCN784-09;Glyphorynchus spirurus
MNCN785-09;Glyphorynchus spirurus
MNCN786-09;Glyphorynchus spirurus
MNCN787-09;Glyphorynchus spirurus
MNCN788-09;Glyphorynchus spirurus
MNCN789-09;Glyphorynchus spirurus
MNCN790-09;Glyphorynchus spirurus
MNCN794-09;Formicarius colma
MNCN795-09;Phaethornis bourcieri
MNCN796-09;Turdus albicollis
MNCN797-09;Formicarius colma
MNCN798-09;Myrmotherula longipennis
MNCN802-09;Xenops minutus
MNCN803-09;Formicarius colma
MNCN806-09;Formicarius colma
MNCN808-09;Formicarius colma
MNCN818-09;Geotrygon montana
MNCN821-09;Hypocnemis cantator
MNCN824-09;Hylophylax naevius
MNCN829-09;Myrmotherula longipennis
MNCN831-09;Turdus albicollis
MNCN832-09;Myrmotherula axillaris
MNCN836-09;Myrmotherula axillaris
MNCN837-09;Myrmotherula axillaris
MNCN843-09;Willisornis poecilinotus
MNCN844-09;Willisornis poecilinotus
MNCN846-09;Formicarius colma
MNCN850-09;Hylophylax naevius
MNCN852-09;Myrmotherula longipennis
MNCN858-09;Turdus albicollis
MNCN859-09;Thamnomanes ardesiacus
MNCN861-09;Automolus ochrolaemus
MNCN863-09;Myrmotherula axillaris
MNCN864-09;Myrmotherula longipennis
MNCN867-09;Thamnomanes ardesiacus
MNCN868-09;Thamnomanes caesius
MNCN869-09;Philydor erythrocercum
MNCN871-09;Thamnomanes caesius
MNCN873-09;Thamnomanes ardesiacus
MNCN874-09;Myrmotherula axillaris
MNCN875-09;Myrmotherula axillaris
MNCN877-09;Automolus ochrolaemus
MNCN878-09;Thamnomanes ardesiacus
MNCN879-09;Myrmotherula longipennis
MNCN880-09;Philydor erythrocercum
MNCN881-09;Myrmotherula longipennis
MNCN884-09;Turdus albicollis
MNCN887-09;Formicarius colma
MNCN890-09;Automolus ochrolaemus
MNCN892-09;Hylophylax naevius
MNCN893-09;Myrmotherula menetriesii
MNCN898-09;Glyphorynchus spirurus
MNCN899-09;Thamnomanes ardesiacus
MNCN900-09;Willisornis poecilinotus
MNCN902-09;Pithys albifrons
MNCN904-09;Pithys albifrons
MNCN905-09;Glyphorynchus spirurus
MNCN906-09;Hypocnemis cantator
MNCN911-09;Glyphorynchus spirurus
MNCN912-09;Glyphorynchus spirurus
MNCN915-09;Formicarius colma
MNCN918-09;Glyphorynchus spirurus
MNCN919-09;Pithys albifrons
MNCN922-09;Pithys albifrons
MNCN925-09;Pithys albifrons
MNCN926-09;Pithys albifrons
MNCN929-09;Willisornis poecilinotus
MNCN930-09;Willisornis poecilinotus
MNCN934-09;Glyphorynchus spirurus
MNCN935-09;Willisornis poecilinotus
MNCN936-09;Turdus albicollis
MNCN937-09;Turdus albicollis
MNCN938-09;Turdus albicollis
MNCN940-09;Pithys albifrons
MNCN945-09;Thamnomanes ardesiacus
MNCN946-09;Thamnomanes ardesiacus
MNCN952-09;Glyphorynchus spirurus
MNCN953-09;Thamnomanes ardesiacus
MNCN954-09;Glyphorynchus spirurus
MNCN957-09;Xenops minutus
MNCN961-09;Turdus albicollis
MNCN962-09;Glyphorynchus spirurus
MNCN963-09;Willisornis poecilinotus
MNCN966-09;Myrmotherula longipennis
MNCN967-09;Turdus albicollis
MNCN970-09;Glyphorynchus spirurus
MNCN972-09;Thamnomanes caesius
NPARR011-07;Amazona amazonica
NPARR012-07;Amazona amazonica
NPARR156-07;Pionites melanocephalus
NPARR303-08;Pyrrhura melanura
NPARR308-08;Amazona kawalli
NPARR309-08;Eupsittula aurea
NPARR312-08;Eupsittula aurea
NPARR313-08;Aratinga weddellii
NPARR316-08;Amazona amazonica
NZCOI750-10;Eudyptes chrysocome
NZCOI754-10;Apteryx owenii
NZCOI755-10;Apteryx owenii
NZCOI756-10;Apteryx haastii
NZCOI790-10;Apteryx australis
NZCOI792-10;Apteryx owenii
NZCOI793-10;Apteryx haastii
NZCOI794-10;Eudyptes chrysocome
NZCOI795-10;Eudyptes chrysocome
NZCOI796-10;Eudyptes chrysocome
NZCOI797-10;Apteryx owenii
ROMC068-07;Eurypyga helias
ROMC069-07;Chrysuronia oenone
ROMC070-07;Oreonympha nobilis
ROMC071-07;Trochilus polytmus
ROMC072-07;Avocettula recurvirostris
ROMC073-07;Atthis heloisa
ROMC074-07;Lophotibis cristata
ROMC075-07;Canirallus kioloides
ROMC080-07;Ardeotis kori
ROMC082-07;Sarothrura rufa
ROMC083-07;Zebrilus undulatus
ROMC084-07;Heliothryx auritus
ROMC085-07;Topaza pella
ROMC086-07;Bostrychia hagedash
ROMC088-07;Heliactin bilophus
ROMC090-07;Eupetomena macroura
ROMC091-07;Chrysolampis mosquitus
ROMC092-07;Klais guimeti
ROMC093-07;Cynanthus latirostris
ROMC094-07;Clytolaema rubricauda
ROMC097-07;Sappho sparganurus
ROMC100-07;Centropus senegalensis
ROMC102-07;Florisuga fusca
ROMC103-07;Boissonneaua matthewsii
ROMC104-07;Schistes geoffroyi
ROMC106-07;Tigrisoma fasciatum
ROMC107-07;Aglaeactis cupripennis
ROMC108-07;Lafresnaya lafresnayi
ROMC109-07;Eutoxeres condamini
ROMC110-07;Heliodoxa aurescens
ROMC111-07;Ensifera ensifera
ROMC112-07;Ciconia abdimii
ROMC115-07;Acridotheres cristatellus
ROMC116-07;Acridotheres cristatellus
ROMC117-07;Acridotheres fuscus
ROMC118-07;Acridotheres fuscus
ROMC119-07;Acridotheres fuscus
ROMC120-07;Acridotheres fuscus
ROMC121-07;Acridotheres ginginianus
ROMC123-07;Acridotheres ginginianus
ROMC124-07;Acridotheres ginginianus
ROMC127-07;Acridotheres tristis
ROMC128-07;Acridotheres tristis
ROMC129-07;Acridotheres tristis
ROMC133-07;Acridotheres tristis
ROMC134-07;Acridotheres tristis
ROMC135-07;Acridotheres tristis
ROMC139-07;Acridotheres tristis
ROMC140-07;Acridotheres tristis
ROMC143-07;Acridotheres tristis
ROMC145-07;Acridotheres tristis
ROMC146-07;Acridotheres tristis
ROMC149-07;Acridotheres tristis
ROMC150-07;Acridotheres tristis
ROMC152-07;Acridotheres tristis
ROMC153-07;Acridotheres tristis
ROMC154-07;Acridotheres tristis
ROMC156-07;Acridotheres tristis
ROMC158-07;Acridotheres tristis
ROMC159-07;Acridotheres tristis
ROMC160-07;Acridotheres tristis
ROMC161-07;Acridotheres tristis
ROMC162-07;Acridotheres tristis
ROMC163-07;Acridotheres tristis
ROMC165-07;Acridotheres tristis
ROMC166-07;Acridotheres tristis
ROMC167-07;Acridotheres tristis
ROMC168-07;Acridotheres tristis
ROMC170-07;Acridotheres tristis
ROMC171-07;Acridotheres tristis
ROMC173-07;Acridotheres tristis
ROMC174-07;Acridotheres tristis
ROMC175-07;Acridotheres tristis
ROMC176-07;Acridotheres tristis
ROMC177-07;Acridotheres tristis
ROMC178-07;Acridotheres tristis
ROMC179-07;Acridotheres tristis
ROMC180-07;Acridotheres tristis
ROMC181-07;Alectura lathami
ROMC188-07;Anser cygnoides
ROMC191-07;Grus virgo
ROMC195-07;Aulacorhynchus haematopygus
ROMC197-07;Balearica regulorum
ROMC198-07;Balearica regulorum
ROMC229-07;Chrysolophus amherstiae
ROMC230-07;Cinclodes fuscus
ROMC235-07;Cygnus atratus
ROMC237-07;Dromaius novaehollandiae
ROMC238-07;Dromaius novaehollandiae
ROMC239-07;Dromaius novaehollandiae
ROMC242-07;Ephippiorhynchus senegalensis
ROMC243-07;Ephippiorhynchus senegalensis
ROMC248-07;Eurostopodus argus
ROMC253-07;Falco sparverius
ROMC254-07;Falco sparverius
ROMC255-07;Falco sparverius
ROMC256-07;Gallus gallus
ROMC258-07;Gracula religiosa
ROMC259-07;Gracula religiosa
ROMC270-07;Hemiphaga novaeseelandiae
ROMC274-07;Megapodius reinwardt
ROMC290-07;Cyanistes caeruleus
ROMC292-07;Cyanistes caeruleus
ROMC301-07;Pelecanus onocrotalus
ROMC319-07;Platycercus icterotis
ROMC320-07;Platycercus icterotis
ROMC329-07;Selenidera maculirostris
ROMC330-07;Sericulus chrysocephalus
ROMC332-07;Lamprotornis bicolor
ROMC333-07;Lamprotornis bicolor
ROMC335-07;Sturnia malabarica
ROMC336-07;Sturnia malabarica
ROMC337-07;Morus serrator
ROMC338-07;Morus serrator
ROMC339-07;Morus serrator
ROMC340-07;Morus serrator
ROMC341-07;Morus serrator
ROMC343-07;Morus serrator
ROMC344-07;Morus serrator
ROMC345-07;Morus serrator
ROMC346-07;Morus serrator
ROMC347-07;Morus serrator
ROMC349-07;Morus serrator
ROMC350-07;Morus serrator
ROMC352-07;Sturnia pagodarum
ROMC353-07;Sturnia pagodarum
ROMC354-07;Sturnia pagodarum
ROMC355-07;Sturnia pagodarum
ROMC356-07;Sturnia pagodarum
ROMC357-07;Sturnia pagodarum
ROMC360-07;Tragopan blythii
ROMC361-07;Tragopan blythii
ROMC362-07;Tragopan blythii
ROMC363-07;Turdus merula
ROMC379-07;Acridotheres tristis
ROMC505-08;Rallus aquaticus
ROMC506-08;Rallus aquaticus
ROMC507-08;Rallus aquaticus
ROMC508-08;Rallus aquaticus
ROMC509-08;Rallus aquaticus
ROMC510-08;Rallus aquaticus
ROMC511-08;Rallus aquaticus
ROMC512-08;Rallus aquaticus
ROMC513-08;Rallus aquaticus
ROMC514-08;Rallus aquaticus
ROMC515-08;Rallus aquaticus
ROMC516-08;Rallus aquaticus
ROMC517-08;Rallus aquaticus
ROMC518-08;Rallus aquaticus
ROMC519-08;Rallus aquaticus
ROMC520-08;Rallus aquaticus
ROMC521-08;Rallus aquaticus
ROMC522-08;Rallus aquaticus
ROMC523-08;Rallus aquaticus
ROMC524-08;Rallus aquaticus
ROMC525-08;Rallus aquaticus
ROMC526-08;Rallus aquaticus
ROMC527-08;Rallus aquaticus
ROMC528-08;Rallus aquaticus
ROMC529-08;Rallus aquaticus
ROMC530-08;Rallus aquaticus
ROMC531-08;Rallus aquaticus
ROMC532-08;Rallus aquaticus
ROMC534-08;Morus serrator
ROMC603-08;Dacelo novaeguineae
ROMC622-08;Passer domesticus
ROMC633-08;Antrostomus vociferus
ROMC653-08;Rallus aquaticus
ROMC663-08;Rallus aquaticus
ROMC713-08;Rallus aquaticus
ROMC714-08;Rallus aquaticus
ROMC715-08;Rallus aquaticus
ROMC716-08;Rallus aquaticus
ROMC717-08;Rallus aquaticus
ROMC718-08;Rallus aquaticus
ROMC719-08;Rallus aquaticus
ROMC720-08;Rallus aquaticus
ROMC721-08;Rallus aquaticus
ROMC722-08;Rallus aquaticus
ROMC723-08;Rallus aquaticus
ROMC724-08;Rallus aquaticus
ROMC725-08;Rallus aquaticus
